房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
1720,51.75,99000.00,33.97,150816.89,5123250.00,在售,商业性办公
1719,51.75,99000.00,33.97,150816.89,5123250.00,在售,商业性办公
1718,66.69,99000.00,43.78,150806.53,6602310.00,在售,商业性办公
1717,51.86,99000.00,34.04,150826.67,5134140.00,在售,商业性办公
1716,51.67,99000.00,33.91,150850.19,5115330.00,在售,商业性办公
1715,51.86,99000.00,34.04,150826.67,5134140.00,在售,商业性办公
1713,51.67,99000.00,33.91,150850.19,5115330.00,在售,商业性办公
1712,51.86,99000.00,34.04,150826.67,5134140.00,在售,商业性办公
1711,51.67,99000.00,33.91,150850.19,5115330.00,在售,商业性办公
1710,81.87,99000.00,53.74,150821.17,8105130.00,在售,商业性办公
1709,81.87,99000.00,53.74,150821.17,8105130.00,在售,商业性办公
1708,51.67,99000.00,33.91,150850.19,5115330.00,在售,商业性办公
1707,51.70,99000.00,33.93,150848.80,5118300.00,在售,商业性办公
1706,51.67,99000.00,33.91,150850.19,5115330.00,在售,商业性办公
1705,51.86,99000.00,34.04,150826.67,5134140.00,在售,商业性办公
1703,51.67,99000.00,33.91,150850.19,5115330.00,在售,商业性办公
1702,51.86,99000.00,34.04,150826.67,5134140.00,在售,商业性办公
1701,66.69,99000.00,43.78,150806.53,6602310.00,在售,商业性办公
1606,85.73,84865.00,57.97,125504.16,7275476.45,在售,商业性办公
1605,224.52,85099.00,151.82,125849.21,19106427.48,在售,商业性办公
1603,240.10,85950.00,162.35,127111.76,20636595.00,在售,商业性办公
1602,240.10,84897.00,162.36,125546.74,20383769.70,在售,商业性办公
1601,224.52,84046.00,151.82,124291.97,18870007.92,在售,商业性办公
1520,51.76,60926.00,33.97,92832.78,3153529.76,在售,商业性办公
1519,51.76,60926.00,33.97,92832.78,3153529.76,在售,商业性办公
1518,66.98,62213.00,43.95,94812.89,4167026.74,在售,商业性办公
1517,51.57,62213.00,33.84,94808.64,3208324.41,在售,商业性办公
1516,51.87,62564.00,34.04,95334.74,3245194.68,在售,商业性办公
1515,51.68,62564.00,33.91,95349.67,3233307.52,在售,商业性办公
1513,51.87,62915.00,34.04,95869.59,3263401.05,在售,商业性办公
