房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋504,209.07,95358.99,123.32,161666.44,19936706.00,在售,办公
5栋503,366.28,95259.00,220.87,157972.86,34891467.00,在售,办公
5栋502,446.86,92141.86,269.47,152798.12,41174512.00,在售,办公
5栋501,209.08,95359.00,123.32,161674.18,19937660.00,在售,办公
5栋404,196.22,94959.00,118.13,157731.77,18632855.00,在售,办公
5栋403,364.21,92839.53,219.26,154214.57,33813087.00,在售,办公
5栋402,444.93,91676.74,267.86,152280.04,40789734.00,在售,办公
5栋401,196.54,94959.00,118.32,157735.31,18663242.00,在售,办公
5栋304,423.88,92723.25,267.55,146901.64,39303534.00,在售,多功能厅
5栋303,213.60,94858.99,134.83,150277.25,20261882.00,在售,办公
5栋302,719.96,91560.46,454.44,145057.37,65919872.00,在售,办公
5栋301,213.60,94858.99,134.83,150277.25,20261882.00,在售,办公
5栋204,409.30,92606.97,251.46,150735.84,37904036.00,在售,办公
5栋203,218.89,94759.00,134.48,154237.04,20741798.00,在售,办公
5栋202,487.18,94359.00,299.31,153585.97,45969818.00,在售,办公
5栋201,219.21,91444.18,134.67,148848.88,20045480.00,在售,办公
5栋105,329.19,91327.90,223.72,134383.30,30064234.00,在售,办公
5栋104,101.77,96158.99,67.59,144786.22,9786101.00,在售,商业
5栋103,84.18,97659.00,55.91,147038.72,8220935.00,在售,商业
5栋102,91.16,96658.99,60.55,145523.27,8811434.00,在售,商业
5栋101,176.73,95658.99,117.38,144026.36,16905815.00,在售,商业
4栋1304,127.68,93588.36,86.30,138463.07,11949363.00,在售,办公
4栋1303,257.75,94169.76,185.36,130946.57,24272258.00,在售,复式办公
4栋1302,396.84,93006.97,268.23,137601.64,36908889.00,在售,办公
4栋1301,388.05,91844.18,262.28,135885.83,35640136.00,在售,办公
4栋1204,135.10,93355.81,89.65,140684.55,12612370.00,在售,办公
4栋1203,135.10,93937.20,89.65,141560.70,12690917.00,在售,办公
4栋1202,408.79,92774.41,271.29,139795.99,37925255.00,在售,办公
4栋1201,400.14,91611.62,265.55,138043.59,36657477.00,在售,办公
4栋1104,135.11,93123.25,89.65,140344.48,12581883.00,在售,办公
4栋1103,135.11,93704.64,89.65,141220.69,12660435.00,在售,办公
4栋1102,407.62,92541.86,270.48,139462.85,37721913.00,在售,办公
4栋1101,400.26,91379.06,265.60,137708.53,36575386.00,在售,办公
4栋1004,135.10,92890.69,89.65,139983.63,12549533.00,在售,办公
4栋1003,135.10,93472.09,89.65,140859.78,12628080.00,在售,办公
4栋1002,408.79,92309.30,271.29,139095.13,37735120.00,在售,办公
4栋1001,400.14,91146.51,265.55,137342.74,36471365.00,在售,办公
4栋904,135.11,92658.13,89.65,139643.51,12519041.00,在售,办公
4栋903,135.11,93239.53,89.65,140519.73,12597594.00,在售,办公
4栋902,407.62,92076.74,270.48,138761.91,37532322.00,在售,办公
4栋901,400.26,90913.95,265.60,137007.60,36389219.00,在售,办公
4栋804,135.10,92425.58,89.65,139282.72,12486696.00,在售,办公
4栋803,135.10,93006.98,89.65,140158.87,12565243.00,在售,办公
4栋802,408.79,91844.18,271.29,138394.28,37544985.00,在售,办公
4栋801,400.14,90681.39,265.55,136641.89,36285254.00,在售,办公
4栋704,135.11,92193.02,89.65,138942.54,12456199.00,在售,办公
4栋703,135.11,92774.42,89.65,139818.76,12534752.00,在售,办公
4栋702,407.62,91611.62,270.48,138060.97,37342732.00,在售,办公
4栋701,400.26,90448.83,265.60,136306.67,36203052.00,在售,办公
4栋604,135.10,91960.46,89.65,138581.80,12423859.00,在售,办公
�207,364.34,88832.55,233.97,138330.78,32365254.00,在售,办公
6栋206,216.46,92160.00,139.00,143517.65,19948954.00,在售,办公
6栋205,109.60,111431.39,89.75,136076.66,12212881.00,在售,商业
6栋204,131.05,111431.39,107.32,136070.48,14603084.00,在售,商业
6栋203,209.48,109105.81,171.54,133237.06,22855486.00,在售,商业
