房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋S32,59.40,24022.73,57.97,24615.00,1426950.00,在售,商铺
5栋S31,107.88,22559.43,105.28,23116.00,2433711.00,在售,商铺
5栋S30,33.82,56793.85,33.00,58205.00,1920768.00,在售,商铺
5栋S29,141.73,18259.60,138.30,18712.00,2587933.00,在售,商铺
5栋S28,110.20,25180.38,107.54,25803.00,2774877.00,在售,商铺
5栋S27,103.60,24393.64,101.08,25001.00,2527181.00,在售,商铺
5栋S25,86.51,27259.30,84.42,27934.00,2358202.00,在售,商铺
5栋S24,18.87,71372.55,18.41,73155.00,1346800.00,在售,商铺
5栋S23,143.47,35547.10,140.01,36425.00,5099942.00,在售,商铺
5栋S22,159.03,35831.15,155.18,36720.00,5698227.00,在售,商铺
5栋S21,18.87,75249.50,18.41,77129.00,1419958.00,在售,商铺
5栋S20,169.83,17540.83,165.72,17975.00,2978959.00,在售,商铺
5栋S19,61.85,50956.00,60.35,52222.00,3151628.00,在售,商铺
5栋2单元41层D,87.06,28147.00,62.57,39163.78,2450477.82,在售,住宅
5栋2单元41层C,88.18,29083.00,63.38,40462.90,2564538.94,在售,住宅
